Unnamed: 0,Company,Brand,Appliance,SKU,ENERGY_VALUE,ENERGY_UNIT,ENERGY_TIER,BRAND_PRODUCT_COUNT,APPLIANCE_CATEGORY_COUNT,AVG_ENERGY_FOR_APPLIANCE,ENERGY_VS_APPLIANCE_AVG,HAS_ENERGY_DATA,IS_MULTI_SKU_APPLIANCE_LINE
44,Whirlpool Corporation,Indesit Company,Kettle,SKU-2538,425.0,W,low,55,1193,349.02286902286903,75.97713097713097,True,True
45,Smeg Group S.p.A,Bertazzoni,Kettle,SKU-45472,,,,57,1193,349.02286902286903,,False,True
46,Arçelik A.Ş. / Koç Holdin,Beko,Washer,SKU-93903,,,,72,1176,347.4403470715835,,False,True
47,GlenDimplex,Stoves,Toaster,SKU-68578,120.0,W,low,60,1204,355.70175438596493,-235.70175438596493,True,True
48,Mondragon Corporation,Brandt,Stove,SKU-75812,,,,60,1188,359.6288209606987,,False,True
49,AB Electrolux / Investor AB,Somela,Dryer,SKU-9034,,,,65,1183,347.7754677754678,,False,True
50,GlenDimplex,Faber,Refrigerator,SKU-61504,,,,68,1145,353.9111111111111,,False,True
51,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Kettle,SKU-94733,425.0,W,low,49,1193,349.02286902286903,75.97713097713097,True,True
52,The Middleby Corporation,La Cornue,Toaster,33853,425.0,W,low,65,1204,355.70175438596493,69.29824561403507,True,True
53,Gorenje,Körting,Kettle,SKU-23056,250.0,W,low,65,1193,349.02286902286903,-99.02286902286903,True,True
54,AB Electrolux / Investor AB,Simpson,Washer,SKU-83622,,,,52,1176,347.4403470715835,,False,True
55,AB Electrolux / Investor AB,Parkinson Cowan,Refrigerator,SKU-87717,500.0,W,low,62,1145,353.9111111111111,146.0888888888889,True,True
56,Gorenje,Etna,Toaster,SKU-81293,,,,63,1204,355.70175438596493,,False,True
57,AB Electrolux / Investor AB,Tappan,Freezer,SKU-78698,300.0,W,low,70,1228,351.4947368421053,-51.49473684210528,True,True
58,Whirlpool Corporation,KitchenAid,Washer,SKU-85838,,,,79,1176,347.4403470715835,,False,True
59,AB Electrolux / Investor AB,Tappan,Freezer,SKU--10384,400.0,W,low,70,1228,351.4947368421053,48.50526315789472,True,True
60,"Sub-Zero Group, Inc",Wolf,Washer,SKU-73383,,,,61,1176,347.4403470715835,,False,True
61,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Servis,Kettle,SKU-20545,,,,49,1193,349.02286902286903,,False,True
62,Whirlpool Corporation,Indesit Company,Washer,SKU-1442,425.0,W,low,55,1176,347.4403470715835,77.55965292841648,True,True
63,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Stove,SKU-34495,,,,64,1188,359.6288209606987,,False,True
64,The Meyer Corporatio,Hestan,Kettle,SKU-62603,400.0,W,low,64,1193,349.02286902286903,50.97713097713097,True,True
65,Arçelik A.Ş. / Koç Holding,Dawlance,Kettle,SKU-65940,475.0,W,low,63,1193,349.02286902286903,125.97713097713097,True,True
66,AB Electrolux / Investor AB,Philco,Dryer,SKU-76211,,,,67,1183,347.7754677754678,,False,True
67,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Dryer,SKU-76929,,,,64,1183,347.7754677754678,,False,True
68,Miele & Cie. KG,Miele,Freezer,SKU-58151,400.0,W,low,73,1228,351.4947368421053,48.50526315789472,True,True
69,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Toaster,SKU24022,,,,64,1204,355.70175438596493,,False,True
70,Gorenje,Pelgrim,Washer,SKU-49675,,,,63,1176,347.4403470715835,,False,True
71,"Indesit Company, Whirlpool Corporation",Hotpoint-Ariston,Dish Washer,SKU-4828,,,,75,1223,350.4077253218884,,False,True
72,AB Electrolux / Investor AB,Castor,Toaster,SKU-45178,,,,68,1204,355.70175438596493,,False,True
73,AB Electrolux / Investor A,Frigidaire,Toaster,SKU-95985,325.0,W,low,54,1204,355.70175438596493,-30.701754385964932,True,True
74,"Sub-Zero Group, Inc",Wolf,Dryer,SKU-93054,,,,61,1183,347.7754677754678,,False,True
75,Montpellier Domestic Appliances Ltd,Montpellier,Stove,SKU-93874,,,,68,1188,359.6288209606987,,False,True
76,Fhiaba S.r.l,Fhibia,Freezer,SKU80776,475.0,W,low,70,1228,351.4947368421053,123.50526315789472,True,True
77,Whirlpool Corporation,Acros,Dryer,SKU-49554,,,,74,1183,347.7754677754678,,False,True
78,Gorenje,Mora,Toaster,SKU-75919,400.0,W,low,71,1204,355.70175438596493,44.29824561403507,True,True
79,Whirlpool Corporation,Jenn-Air,Refrigerator,SKU-89333,,,,59,1145,353.9111111111111,,False,True
80,Whirlpool Corporation,Privileg,Toaster,SKU-47537,,,,51,1204,355.70175438596493,,False,True
81,Mondragon Corporation,Brandt,Freezer,SKU-98573,,,,60,1228,351.4947368421053,,False,True
82,AB Electrolux / Investor AB,Kelvinator,Stove,SKU-40979,500.0,W,low,50,1188,359.6288209606987,140.3711790393013,True,True
83,AB Electrolux / Investor AB,Electrolux,Dryer,SKU-2411,,,,74,1183,347.7754677754678,,False,True
84,Gorenje,Etna,Dish Washer,SKU-70586,,,,63,1223,350.4077253218884,,False,True
85,AB Electrolux / Investor AB,Gibson,Washer,SKU-26142,300.0,W,low,58,1176,347.4403470715835,-47.44034707158352,True,True
86,GlenDimplex,Dimplex,Toaster,SKU-1795,,,,62,1204,355.70175438596493,,False,True
87,Arçelik A.Ş. / Koç Holding,Arctic,Dryer,SKU-17748,,,,61,1183,347.7754677754678,,False,True
88,Gorenje,Körting,Kettle,SKU-5042,,,,65,1193,349.02286902286903,,False,True
89,Mondragon Corporation,Fagor,Dryer,SKU-95283,325.0,W,low,87,1183,347.7754677754678,-22.775467775467803,True,True
90,GlenDimplex,New World,Toaster,SKU-3236,475.0,W,low,58,1204,355.70175438596493,119.29824561403507,True,True
91,AB Electrolux / Investor AB,Elektro Helios,Refrigerator,SKU-28204,300.0,W,low,67,1145,353.9111111111111,-53.9111111111111,True,True
92,AB Electrolux / Investor AB,Dometic,Kettle,SKU-33380,325.0,W,low,59,1193,349.02286902286903,-24.02286902286903,True,True
93,AB Electrolux / Investor AB,Olympic Group,Washer,SKU-64052,,,,58,1176,347.4403470715835,,False,True
94,Montpellier Domestic Appliances Ltd,Montpellier,Dish Washer,SKU-62207,,,,68,1223,350.4077253218884,,False,True
95,Home Retail Group plc / J Sainsbury plc,Bush,Kettle,SKU-23396,,,,63,1193,349.02286902286903,,False,True
96,Gorenje,Gorenje,Dish Washer,SKU-22659,500.0,W,low,59,1223,350.4077253218884,149.5922746781116,True,True
97,Viking Range Corporation / The Middleby Corporation,Viking,Freezer,SKU-6856,475.0,W,low,57,1228,351.4947368421053,123.50526315789472,True,True
98,"Sub-Zero Group, Inc",Sub-Zero,Washer,SKU-37556,120.0,W,low,54,1176,347.4403470715835,-227.44034707158352,True,True
99,GlenDimplex,Nobo,Dryer,SKU-35700,500.0,W,low,67,1183,347.7754677754678,152.2245322245322,True,True
100,AB Electrolux / Investor AB,Castor,Kettle,SKU-18612,,,,68,1193,349.02286902286903,,False,True
101,"Sub-Zero Group, Inc",Wolf,Dryer,SKU-5175,,,,61,1183,347.7754677754678,,False,True
102,Fhiaba S.r.l,Fhibia,Kettle,SKU-47276,,,,70,1193,349.02286902286903,,False,True
103,AB Electrolux / Investor AB,Prosdócimo,Freezer,SKU-24006,,,,52,1228,351.4947368421053,,False,True
104,AB Electrolux / Investor AB,Somela,Kettle,SKU-4805,,,,65,1193,349.02286902286903,,False,True
105,AB Electrolux / Investor AB,Castor,Washer,SKU-99509,,,,68,1176,347.4403470715835,,False,True
106,Whirlpool Corporation,Indesit Company,Freezer,SKU-45227,,,,55,1228,351.4947368421053,,False,True
107,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dryer,SKU35757,400.0,W,low,80,1183,347.7754677754678,52.2245322245322,True,True
108,AB Electrolux / Investor AB,Parkinson Cowan,Kettle,SKU-27297,,,,62,1193,349.02286902286903,,False,True
109,Arçelik A.Ş. / Koç Holding,Flavel,Kettle,SKU-57677,400.0,W,low,56,1193,349.02286902286903,50.97713097713097,True,True
110,BSH Hausgeräte GmbH / Robert Bosch GmbH,Gaggenau,Toaster,SKU-71547,250.0,W,low,57,1204,355.70175438596493,-105.70175438596493,True,True
111,AB Electrolux / Investor AB,FAure,Refrigerator,SKU-84748,,,,58,1145,353.9111111111111,,False,True
112,Whirlpool Corporatio,Ariston,Refrigerator,SKU-94572,250.0,W,low,68,1145,353.9111111111111,-103.9111111111111,True,True
113,Gorenje,Mora,Refrigerator,SKU-44853,,,,71,1145,353.9111111111111,,False,True
114,Asko Appliances AB / Gorenje,Asko,Stove,SKU-63541,,,,63,1188,359.6288209606987,,False,True
115,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Dish Washer,SKU-60336,,,,63,1223,350.4077253218884,,False,True
116,Candy Group,Süsler,Freezer,SKU-29738,500.0,W,low,71,1228,351.4947368421053,148.50526315789472,True,True
117,Whirlpool Corporation,Jenn-Air,Freezer,SKU-19874,400.0,W,low,59,1228,351.4947368421053,48.50526315789472,True,True
118,AB Electrolux / Investor AB,Simpson,Dryer,SKU-19601,,,,52,1183,347.7754677754678,,False,True
119,AB Electrolux / Investor AB,Voss,Refrigerator,SKU-5646,,,,64,1145,353.9111111111111,,False,True
120,Mondragon Corporation,Fagor,Dish Washer,SKU-49717,250.0,W,low,87,1223,350.4077253218884,-100.40772532188839,True,True
121,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,SKU-27166,425.0,W,low,66,1176,347.4403470715835,77.55965292841648,True,True
122,Whirlpool Corporation,Whirlpool,Dryer,SKU-30731,,,,64,1183,347.7754677754678,,False,True
123,GlenDimplex,Faber,Stove,SKU-47466,,,,68,1188,359.6288209606987,,False,True
124,AB Electrolux / Investor AB,White-Westinghouse,Dish Washer,SKU-1065,,,,65,1223,350.4077253218884,,False,True
125,"Sub-Zero Group, Inc",Wolf,Kettle,SKU-65284,425.0,W,low,61,1193,349.02286902286903,75.97713097713097,True,True
126,Whirlpool Corporation,Gladiator GarageWorks,Stove,SKU-29850,,,,68,1188,359.6288209606987,,False,True
127,Asko Appliances AB / Gorenje,Asko,Dryer,SKU-74917,,,,63,1183,347.7754677754678,,False,True
128,AB Electrolux / Investor AB,White-Westinghouse,Dish Washer,SKU-24745,400.0,W,low,65,1223,350.4077253218884,49.59227467811161,True,True
129,"Sub-Zero Group, Inc",Wolf,Stove,SKU-11525,,,,61,1188,359.6288209606987,,False,True
130,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Toaster,SKU-44756,,,,62,1204,355.70175438596493,,False,True
131,Gorenj,Atag,Dryer,SKU-89123,,,,60,1183,347.7754677754678,,False,True
132,Whirlpool Corporation,Inglis,Kettle,SKU-34939,475.0,W,low,57,1193,349.02286902286903,125.97713097713097,True,True
133,Candy Group,Zerowatt,Washer,SKU-68703,475.0,W,low,58,1176,347.4403470715835,127.55965292841648,True,True
134,Arçelik A.Ş. / Koç Holding,Dawlance,Washer,SKU-14181,,,,63,1176,347.4403470715835,,False,True
135,"Indesit Company, Whirlpool Corporation",Stinol,Freezer,SKU-27200,475.0,W,low,58,1228,351.4947368421053,123.50526315789472,True,True
136,Arçelik A.Ş. / Koç Holding,Grundig,Dryer,SKU-81570,,,,57,1183,347.7754677754678,,False,True
137,Meneghetti S.p.A,Fulgor Milano,Freezer,SKU-59234,475.0,W,low,65,1228,351.4947368421053,123.50526315789472,True,True
138,AB Electrolux / Investor AB,Electrolux ICON,Washer,SKU-34861,475.0,W,low,62,1176,347.4403470715835,127.55965292841648,True,True
139,AB Electrolux / Investor AB,Mademsa,Stove,SKU-30397,,,,67,1188,359.6288209606987,,False,True
140,BSH Hausgeräte GmbH / Robert Bosch GmbH,PROFiLO,Washer,SKU-35435,250.0,W,low,63,1176,347.4403470715835,-97.44034707158352,True,True
141,Miele & Cie. KG,Miele,Kettle,SKU-11451,325.0,W,low,73,1193,349.02286902286903,-24.02286902286903,True,True
142,Smeg Group S.p.A,Smeg,Freezer,SKU-39932,,,,66,1228,351.4947368421053,,False,True
143,Whirlpool Corporation,Privileg,Dryer,SKU-70155,425.0,W,low,51,1183,347.7754677754678,77.2245322245322,True,True
144,Bauknecht Hausgeräte GmbH / Whirlpool Corporation,Bauknecht,Stove,SKU-30686,300.0,W,low,59,1188,359.6288209606987,-59.628820960698704,True,True
145,AB Electrolux / Investor AB,Castor,Refrigerator,SKU-28103,,,,68,1145,353.9111111111111,,False,True
146,IKEA,IKEA,Dryer,SKU-28747,250.0,W,low,79,1183,347.7754677754678,-97.7754677754678,True,True
147,Arçelik A.Ş. / Koç Holding,Elektra Bregenz,Dryer,SKU-59692,,,,71,1183,347.7754677754678,,False,True
148,Viking Range Corporation / The Middleby Corporation,Viking,Stove,SKU-75755,,,,57,1188,359.6288209606987,,False,True
149,The Middleby Corporation,La Cornue,Stove,SKU-39885,500.0,W,low,65,1188,359.6288209606987,140.3711790393013,True,True
150,Whirlpool Corporation,Polar,Toaster,SKU-52424,,,,66,1204,355.70175438596493,,False,True
151,"Indesit Company, Whirlpool Corporation",Termogamma,Toaster,SKU-49988,120.0,W,low,56,1204,355.70175438596493,-235.70175438596493,True,True
152,GlenDimplex,New World,Kettle,SKU-74335,400.0,W,low,58,1193,349.02286902286903,50.97713097713097,True,True
153,Amica Wronki S.A,Amica,Toaster,SKU-5298,,,,66,1204,355.70175438596493,,False,True
154,Whirlpool Corporation,Whirlpool,Stove,SKU-68558,325.0,W,low,64,1188,359.6288209606987,-34.628820960698704,True,True
155,Candy Group,Süsler,Dish Washer,SKU-33041,,,,71,1223,350.4077253218884,,False,True
156,AB Electrolux / Investor AB,Corberó,Dryer,SKU-45771,400.0,W,low,58,1183,347.7754677754678,52.2245322245322,True,True
157,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Refrigerator,SKU-38356,325.0,W,low,62,1145,353.9111111111111,-28.911111111111097,True,True
158,BSH Hausgeräte GmbH / Robert Bosch GmbH,Constructa,Dryer,SKU-56425,,,,80,1183,347.7754677754678,,False,True
159,AB Electrolux / Investor AB,Simpson,Dish Washer,SKU-12206,325.0,W,low,52,1223,350.4077253218884,-25.407725321888393,True,True
160,John Lewis Partnership,John Lewis,Freezer,SKU-95149,,,,47,1228,351.4947368421053,,False,True
161,AB Electrolux / Investor AB,Atlas,Refrigerator,SKU-28362,,,,63,1145,353.9111111111111,,False,True
162,Mondragon Corporation,Brandt,Refrigerator,SKU-74848,400.0,W,low,60,1145,353.9111111111111,46.0888888888889,True,True
163,BSH Hausgeräte GmbH / Robert Bosch GmbH,Zelmer,Kettle,SKU-70512,,,,61,1193,349.02286902286903,,False,True
164,"Vestel Elektronik Sanayi Ve Ticaret AŞ, Zorlu Holding",Vestfrost,Stove,SKU-64032,,,,62,1188,359.6288209606987,,False,True
165,Arçelik A.Ş. / Koç Holding,Dawlance,Freezer,SKU-5035,500.0,W,low,63,1228,351.4947368421053,148.50526315789472,True,True
166,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Kettle,SKU-99602,120.0,W,low,66,1193,349.02286902286903,-229.02286902286903,True,True
167,IKEA,IKEA,Dryer,SKU-82830,,,,79,1183,347.7754677754678,,False,True
168,GlenDimplex,Britannia,Washer,SKU-9763,,,,64,1176,347.4403470715835,,False,True
169,IKEA,IKEA,Dish Washer,SKU-59878,425.0,W,low,79,1223,350.4077253218884,74.59227467811161,True,True
170,Whirlpool Corporation,Gladiator GarageWorks,Kettle,SKU-46691,,,,68,1193,349.02286902286903,,False,True
171,AM Kodinkoneet Oy / Gorenje Group Nordic A/S / Gorenje,UPO,Kettle,SKU-70129,,,,64,1193,349.02286902286903,,False,True
172,GlenDimple,Belling,Freezer,SKU-70531,325.0,W,low,62,1228,351.4947368421053,-26.494736842105283,True,True
173,Candy Group,Zerowatt,Freezer,SKU-30603,,,,58,1228,351.4947368421053,,False,True
174,Whirlpool Corporation,Maytag,Kettle,SKU-72243,325.0,W,low,65,1193,349.02286902286903,-24.02286902286903,True,True
175,AB Electrolux / Investor AB,Westinghouse,Freezer,SKU-43713,,,,68,1228,351.4947368421053,,False,True
176,Whirlpool Corporation,Diqua,Freezer,SKU-79708,,,,67,1228,351.4947368421053,,False,True
177,Whirlpool Corporation,Amana,Freezer,SKU-15604,,,,56,1228,351.4947368421053,,False,True
178,Thermador / BSH Hausgeräte GmbH / Robert Bosch GmbH,Thermador,Refrigerator,SKU-25495,500.0,W,low,64,1145,353.9111111111111,146.0888888888889,True,True
179,AB Electrolux / Investor AB,Philco,Freezer,SKU-93224,,,,67,1228,351.4947368421053,,False,True
180,Candy Group,Hoover,Toaster,56742,,,,62,1204,355.70175438596493,,False,True
181,Whirlpool Corporation,Admiral,Dish Washer,SKU-85946,,,,77,1223,350.4077253218884,,False,True
182,GlenDimplex,Campo,Dryer,SKU-27403,120.0,W,low,74,1183,347.7754677754678,-227.7754677754678,True,True
183,Candy Group,Hoover,Freezer,SKU-36923,120.0,W,low,62,1228,351.4947368421053,-231.49473684210528,True,True
184,Whirlpool Corporation,Brastemp,Stove,SKU-19254,120.0,W,low,68,1188,359.6288209606987,-239.6288209606987,True,True
185,AB Electrolux / Investor AB,Elektro Helios,Kettle,SKU-88490,,,,67,1193,349.02286902286903,,False,True
186,AB Electrolux / Investor AB,Elektro Helios,Stove,SKU-72636,,,,67,1188,359.6288209606987,,False,True
187,Gorenje,Gorenje,Washer,SKU-9428,475.0,W,low,59,1176,347.4403470715835,127.55965292841648,True,True
188,GlenDimplex,Stoves,Dryer,SKU-50047,,,,60,1183,347.7754677754678,,False,True
189,Mondragon Corporation,Mastercook,Toaster,SKU-9884,475.0,W,low,63,1204,355.70175438596493,119.29824561403507,True,True
190,Whirlpool Corporation,Inglis,Freezer,SKU-32759,,,,57,1228,351.4947368421053,,False,True
191,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Refrigerator,SKU-63704,,,,63,1145,353.9111111111111,,False,True
192,Currys / Dixons Carphone plc,Logik,Dryer,SKU-13659,425.0,W,low,71,1183,347.7754677754678,77.2245322245322,True,True
193,AB Electrolux / Investor AB,FAure,Toaster,SKU-75420,,,,58,1204,355.70175438596493,,False,True
194,Mondragon Corporation,Mastercook,Refrigerator,SKU-12581,,,,63,1145,353.9111111111111,,False,True
195,Home Retail Group plc / J Sainsbury plc,Bush,Toaster,SKU-59372,400.0,W,low,63,1204,355.70175438596493,44.29824561403507,True,True
196,AB Electrolux / Investor AB,Kelvinator,Dryer,SKU-92913,,,,50,1183,347.7754677754678,,False,True
197,Whirlpool Corporation,Jenn-Air,Washer,SKU-28981,,,,59,1176,347.4403470715835,,False,True
198,GlenDimplex,Creda,Freezer,SKU-14832,,,,60,1228,351.4947368421053,,False,True
199,Hisense Kelon Electrical Holdings Ltd. / Hisense Group,Kelon (科龙),Washer,SKU-30649,,,,66,1176,347.4403470715835,,False,True
200,Verzinkerei Zug LtdV-ZUG Ltd,V-ZUG,Refrigerator,SKU-3138,,,,63,1145,353.9111111111111,,False,True
201,"Indesit Company, Whirlpool Corporation",Termogamma,Washer,SKU-24522,250.0,W,low,56,1176,347.4403470715835,-97.44034707158352,True,True
202,Whirlpool Corporation,Brastemp,Toaster,SKU-32064,,,,68,1204,355.70175438596493,,False,True
203,AB Electrolux / Investor AB,REX-Electrolux,Kettle,SKU-95776,,,,75,1193,349.02286902286903,,False,True
204,AB Electrolux / Investor AB,Tappan,Kettle,SKU91613,500.0,W,low,70,1193,349.02286902286903,150.97713097713097,True,True
205,Gorenj,Atag,Kettle,SKU-29483,400.0,W,low,60,1193,349.02286902286903,50.97713097713097,True,True
206,AB Electrolux / Investor AB,AEG,Dryer,SKU-60077,,,,55,1183,347.7754677754678,,False,True
207,Arçelik A.Ş. / Koç Holding,Dawlance,Dryer,SKU-67510,475.0,W,low,63,1183,347.7754677754678,127.2245322245322,True,True
208,Candy Group,Iberna,Toaster,SKU-32908,425.0,W,low,72,1204,355.70175438596493,69.29824561403507,True,True
209,"Hotpoint, Whirlpool Corporation",Hotpoint,Dryer,SKU-16225,,,,53,1183,347.7754677754678,,False,True
210,AB Electrolux / Investor AB,Fensa,Refrigerator,SKU-96393,,,,71,1145,353.9111111111111,,False,True
211,Whirlpool Corporation,Whirlpool,Refrigerator,SKU-24541,500.0,W,low,64,1145,353.9111111111111,146.0888888888889,True,True
212,AB Electrolux / Investor AB,Simpson,Freezer,SKU-33187,250.0,W,low,52,1228,351.4947368421053,-101.49473684210528,True,True
213,"Sub-Zero Group, Inc",Sub-Zero,Freezer,SKU-47814,120.0,W,low,54,1228,351.4947368421053,-231.49473684210528,True,True
214,"Indesit Company, Whirlpool Corporation",Scholtès,Toaster,SKU-57847,,,,49,1204,355.70175438596493,,False,True
215,Whirlpool Corporation,KitchenAid,Kettle,18972,500.0,W,low,79,1193,349.02286902286903,150.97713097713097,True,True
216,GlenDimplex,Dimplex,Kettle,SKU-95394,,,,62,1193,349.02286902286903,,False,True
217,Arçelik A.Ş. / Koç Holdin,Arstil,Kettle,SKU-57675,500.0,W,low,50,1193,349.02286902286903,150.97713097713097,True,True
218,AB Electrolux / Investor AB,White-Westinghouse,Stove,SKU-50271,300.0,W,low,65,1188,359.6288209606987,-59.628820960698704,True,True
219,Liebherr Group,Liebherr,Dryer,SKU-8013,475.0,W,low,80,1183,347.7754677754678,127.2245322245322,True,True
220,Candy Group,Rosières,Kettle,SKU-5587,,,,68,1193,349.02286902286903,,False,True
221,Liebherr Group,Liebherr,Dryer,SKU-19449,,,,80,1183,347.7754677754678,,False,True
222,BSH Hausgeräte GmbH / Robert Bosch GmbH,ufesa,Dish Washer,SKU-39287,,,,63,1223,350.4077253218884,,False,True
